commodity_id,commodity,market_id,market,admin1,admin2,first_month,last_month,total_months,observed_months,missing_months,pct_coverage,n_spikes,is_eligible
133,Rice (white),368,Colombo City,Western,Colombo,2006-07-01,2025-09-01,231,220,11,95.2,0,TRUE
323,Onions (imported),368,Colombo City,Western,Colombo,2021-09-01,2025-09-01,49,38,11,77.6,1,TRUE
108,Lentils,360,Ampara,Eastern,Ampara,2023-06-01,2025-09-01,28,28,0,100,0,TRUE
108,Lentils,366,Trincomalee,Eastern,Trincomalee,2023-06-01,2025-09-01,28,28,0,100,0,TRUE
108,Lentils,1889,Monaragala,Uva,Moneragala,2023-06-01,2025-09-01,28,28,0,100,0,TRUE
108,Lentils,1906,Anuradhapura,North Central,Anuradhapura,2023-06-01,2025-09-01,28,28,0,100,0,TRUE
108,Lentils,1907,Badulla,Uva,Badulla,2023-06-01,2025-09-01,28,28,0,100,0,TRUE
108,Lentils,1910,Galle,Southern,Galle,2023-06-01,2025-09-01,28,28,0,100,0,TRUE
108,Lentils,1912,Kandy,Central,Kandy,2023-06-01,2025-09-01,28,28,0,100,0,TRUE
108,Lentils,1913,Kegalle,Sabaragamuwa,Kegalle,2023-06-01,2025-09-01,28,28,0,100,0,TRUE
108,Lentils,1915,Matale,Central,Matale,2023-06-01,2025-09-01,28,28,0,100,0,TRUE
108,Lentils,1916,Matara,Southern,Matara,2023-06-01,2025-09-01,28,28,0,100,0,TRUE
108,Lentils,1917,Nuwara Eliya,Central,Nuwara Eliya,2023-06-01,2025-09-01,28,28,0,100,0,TRUE
108,Lentils,5287,Dammbagalla,Uva,Moneragala,2023-06-01,2025-09-01,28,28,0,100,0,TRUE
108,Lentils,7833,Embilipitiya,Sabaragamuwa,Ratnapura,2023-06-01,2025-09-01,28,28,0,100,0,TRUE
108,Lentils,7837,Dehiattakandiya,Eastern,Ampara,2023-06-01,2025-09-01,28,28,0,100,0,TRUE
108,Lentils,7839,Keppetipola (DEC},Uva,Badulla,2023-06-01,2025-09-01,28,28,0,100,0,TRUE
108,Lentils,7841,Meegoda(DEC),Western,Colombo,2023-06-01,2025-09-01,28,28,0,100,0,TRUE
114,Tomatoes,360,Ampara,Eastern,Ampara,2023-06-01,2025-09-01,28,28,0,100,7,TRUE
114,Tomatoes,366,Trincomalee,Eastern,Trincomalee,2023-06-01,2025-09-01,28,28,0,100,6,TRUE
114,Tomatoes,367,Vavuniya,Northern,Vavuniya,2023-06-01,2025-09-01,28,28,0,100,7,TRUE
114,Tomatoes,368,Colombo City,Western,Colombo,2023-06-01,2025-09-01,28,28,0,100,6,TRUE
114,Tomatoes,1889,Monaragala,Uva,Moneragala,2023-06-01,2025-09-01,28,28,0,100,6,TRUE
114,Tomatoes,1906,Anuradhapura,North Central,Anuradhapura,2023-06-01,2025-09-01,28,28,0,100,7,TRUE
114,Tomatoes,1907,Badulla,Uva,Badulla,2023-06-01,2025-09-01,28,28,0,100,6,TRUE
114,Tomatoes,1910,Galle,Southern,Galle,2023-06-01,2025-09-01,28,28,0,100,5,TRUE
114,Tomatoes,1912,Kandy,Central,Kandy,2023-06-01,2025-09-01,28,28,0,100,12,TRUE
114,Tomatoes,1913,Kegalle,Sabaragamuwa,Kegalle,2023-06-01,2025-09-01,28,28,0,100,4,TRUE
