threshold,tp,fp,fn,tn,precision,recall,f1,total_cost
0.1,256,527,0,0,0.3269476372924649,1,0.49278152069297404,527
0.15000000000000002,256,527,0,0,0.3269476372924649,1,0.49278152069297404,527
0.2,248,448,8,79,0.3563218390804598,0.96875,0.5210084033613446,480
0.25,207,162,49,365,0.5609756097560976,0.80859375,0.6624000000000001,358
0.30000000000000004,172,96,84,431,0.6417910447761194,0.671875,0.6564885496183207,432
0.35,154,58,102,469,0.7264150943396226,0.6015625,0.6581196581196581,466
0.4,142,40,114,487,0.7802197802197802,0.5546875,0.6484018264840183,496
0.45000000000000007,137,30,119,497,0.8203592814371258,0.53515625,0.6477541371158392,506
0.5,134,27,122,500,0.8322981366459627,0.5234375,0.6426858513189448,515
0.55,130,25,126,502,0.8387096774193549,0.5078125,0.632603406326034,529
0.6,126,24,130,503,0.84,0.4921875,0.6206896551724138,544
0.65,116,19,140,508,0.8592592592592593,0.453125,0.5933503836317136,579
0.7000000000000001,102,10,154,517,0.9107142857142857,0.3984375,0.5543478260869565,626
0.75,93,7,163,520,0.93,0.36328125,0.5224719101123595,659
0.8,84,6,172,521,0.9333333333333333,0.328125,0.4855491329479769,694
0.85,79,4,177,523,0.9518072289156626,0.30859375,0.4660766961651918,712
0.9,70,2,186,525,0.9722222222222222,0.2734375,0.4268292682926829,746
